,Coefficient
vertical_drop,6.771017942573744
trams,0.15452931808756795
fastSixes,1.991902898575089
fastQuads,5.348625468096586
quad,3.2024374689618744
triple,1.8245794416221668
double,0.15392231399077347
surface,4.234449168034126
Runs,2.779526113456864
TerrainParks,1.3897256701239251
LongestRun_mi,0.7434846363197629
SkiableTerrain_ac,3.9745244642995856
Snow Making_ac,0.6112523614434301
daysOpenLastYear,3.628769036786054
yearsOpen,0.8739601226169907
averageSnowfall,1.9940394903812078
projectedDaysOpen,0.2094286762843214
NightSkiing_ac,1.593128685927714
clusters,0.6725420105994296
